epoch,strategy,full20_canonical_match,full40_canonical_match,delta_full40_minus_full20
1,identity,0.35664939550949915,0.3747841105354059,0.018134715025906745
1,attachment_rooted_smiles,0.1692573402417962,0.17530224525043178,0.0060449050086355816
1,light_denoise,0.1303972366148532,0.14248704663212436,0.012089810017271163
1,direction_flip,0.07512953367875648,0.07340241796200346,-0.0017271157167530193
1,rdkit_random_smiles,0.0768566493955095,0.06735751295336788,-0.00949913644214162
2,identity,0.5354058721934369,0.5483592400690847,0.012953367875647714
2,attachment_rooted_smiles,0.28929188255613125,0.3013816925734024,0.012089810017271163
2,light_denoise,0.20207253886010362,0.22797927461139897,0.025906735751295346
2,direction_flip,0.15025906735751296,0.1459412780656304,-0.004317789291882562
2,rdkit_random_smiles,0.14853195164075994,0.1459412780656304,-0.002590673575129543
3,identity,0.5941278065630398,0.6174438687392055,0.023316062176165775
3,attachment_rooted_smiles,0.38860103626943004,0.3540587219343696,-0.03454231433506044
3,light_denoise,0.26770293609671847,0.26252158894645944,-0.00518134715025903
3,direction_flip,0.20466321243523317,0.20379965457685664,-0.0008635578583765235
3,rdkit_random_smiles,0.19430051813471502,0.1848013816925734,-0.00949913644214162
4,identity,0.6485319516407599,0.6519861830742659,0.003454231433505983
4,attachment_rooted_smiles,0.43436960276338515,0.42055267702936094,-0.01381692573402421
4,light_denoise,0.28756476683937826,0.30483592400690845,0.017271157167530193
4,direction_flip,0.2659758203799655,0.24611398963730569,-0.019861830742659792
4,rdkit_random_smiles,0.23834196891191708,0.22797927461139897,-0.010362694300518116
5,identity,0.6787564766839378,0.687392055267703,0.00863557858376518
5,attachment_rooted_smiles,0.46718480138169255,0.46459412780656306,-0.0025906735751294874
5,light_denoise,0.31519861830742657,0.32728842832469773,0.012089810017271163
5,direction_flip,0.2849740932642487,0.27461139896373055,-0.010362694300518172
5,rdkit_random_smiles,0.2694300518134715,0.2599309153713299,-0.00949913644214162
6,identity,0.7012089810017271,0.7167530224525043,0.015544041450777146
6,attachment_rooted_smiles,0.48704663212435234,0.4913644214162349,0.0043177892918825345
