run,epoch,strategy,sample_count,failed_count,canonical_match,exact_string_match,rdkit_validity,two_attachment_validity
Full 20 epoch,1,identity,1158,745,0.35664939550949915,0.3549222797927461,0.5198618307426598,0.5129533678756477
Full 20 epoch,1,attachment_rooted_smiles,1158,962,0.1692573402417962,0.16580310880829016,0.41364421416234887,0.39896373056994816
Full 20 epoch,1,light_denoise,1158,1007,0.1303972366148532,0.1303972366148532,0.4075993091537133,0.39810017271157166
Full 20 epoch,1,direction_flip,1158,1071,0.07512953367875648,0.07340241796200346,0.38860103626943004,0.37823834196891193
Full 20 epoch,1,rdkit_random_smiles,1158,1069,0.0768566493955095,0.07253886010362694,0.37305699481865284,0.3626943005181347
Full 20 epoch,2,identity,1158,538,0.5354058721934369,0.5354058721934369,0.6727115716753023,0.6692573402417962
Full 20 epoch,2,attachment_rooted_smiles,1158,823,0.28929188255613125,0.2867012089810017,0.5129533678756477,0.5034542314335061
Full 20 epoch,2,light_denoise,1158,924,0.20207253886010362,0.20120898100172713,0.4930915371329879,0.48791018998272884
Full 20 epoch,2,direction_flip,1158,984,0.15025906735751296,0.14335060449050085,0.4326424870466321,0.42573402417962003
Full 20 epoch,2,rdkit_random_smiles,1158,986,0.14853195164075994,0.14162348877374784,0.46027633851468047,0.4525043177892919
Full 20 epoch,3,identity,1158,470,0.5941278065630398,0.5941278065630398,0.7202072538860104,0.7124352331606217
Full 20 epoch,3,attachment_rooted_smiles,1158,708,0.38860103626943004,0.38687392055267705,0.5846286701208981,0.5777202072538861
Full 20 epoch,3,light_denoise,1158,848,0.26770293609671847,0.266839378238342,0.5716753022452504,0.5630397236614854
Full 20 epoch,3,direction_flip,1158,921,0.20466321243523317,0.2003454231433506,0.4930915371329879,0.4853195164075993
Full 20 epoch,3,rdkit_random_smiles,1158,933,0.19430051813471502,0.18998272884283246,0.5,0.49222797927461137
Full 20 epoch,4,identity,1158,407,0.6485319516407599,0.6485319516407599,0.7711571675302246,0.7677029360967185
Full 20 epoch,4,attachment_rooted_smiles,1158,655,0.43436960276338515,0.4317789291882556,0.6424870466321243,0.6347150259067358
Full 20 epoch,4,light_denoise,1158,825,0.28756476683937826,0.2867012089810017,0.5872193436960277,0.5794473229706391
