run,valid_canonical,test_canonical,robustness_valid_canonical,robustness_test_canonical,valid_exact,valid_rdkit,valid_two_attachment,identity_valid_canonical,non_identity_valid_canonical,loss,token_accuracy
Full 20,0.5079447322970639,0.5188255613126079,0.4531519861830743,0.4596286701208981,0.5044905008635578,0.7449050086355786,0.7412780656303972,0.7271157167530224,0.4531519861830743,0.19977837758373454,0.9607569340725842
Curriculum 20,0.5464594127806564,0.5436960276338515,0.47085492227979275,0.46545768566493956,0.5431778929188256,0.7526770293609671,0.7483592400690846,0.8488773747841105,0.47085492227979275,0.17134120255689417,0.9646398622549054
Full 40,0.5459412780656304,0.5385146804835924,0.49719343696027635,0.48683074265975823,0.5438687392055268,0.78566493955095,0.7815198618307426,0.7409326424870466,0.49719343696027635,0.19286947233593507,0.965566658577359
Curriculum 40,0.5689119170984456,0.56286701208981,0.5127374784110535,0.501727115716753,0.5656303972366149,0.7898100172711572,0.785146804835924,0.7936096718480138,0.5127374784110535,0.18062822404459009,0.9668522579579362
