epoch,strategy,sample_count,failed_count,canonical_match,exact_string_match,rdkit_validity,two_attachment_validity
1,identity,1158,39,0.966321243523316,0.966321243523316,0.9732297063903281,0.9723661485319517
1,attachment_rooted_smiles,1158,169,0.8540587219343696,0.0,0.8825561312607945,0.8618307426597582
1,light_denoise,1158,1142,0.013816925734024179,0.012089810017271158,0.2504317789291883,0.19948186528497408
1,direction_flip,1158,1096,0.0535405872193437,0.0,0.37737478411053543,0.12521588946459414
1,rdkit_random_smiles,1158,1080,0.06735751295336788,0.0,0.3791018998272884,0.13903281519861832
2,identity,1158,11,0.9905008635578584,0.9896373056994818,0.9922279792746114,0.9913644214162349
2,attachment_rooted_smiles,1158,86,0.92573402417962,0.0,0.9455958549222798,0.9369602763385146
2,light_denoise,1158,1139,0.016407599309153715,0.01468048359240069,0.21848013816925735,0.18652849740932642
2,direction_flip,1158,1090,0.05872193436960276,0.0,0.5768566493955095,0.08117443868739206
2,rdkit_random_smiles,1158,1081,0.06649395509499137,0.0,0.575993091537133,0.0924006908462867
3,identity,1158,24,0.9792746113989638,0.9784110535405872,0.9810017271157168,0.9810017271157168
3,attachment_rooted_smiles,1158,891,0.23056994818652848,0.10967184801381692,0.43609671848013815,0.42055267702936094
3,light_denoise,1158,1112,0.039723661485319514,0.039723661485319514,0.29447322970639034,0.27461139896373055
3,direction_flip,1158,1088,0.06044905008635579,0.04835924006908463,0.34196891191709844,0.3316062176165803
3,rdkit_random_smiles,1158,1075,0.07167530224525043,0.05958549222797927,0.34110535405872194,0.33074265975820377
4,identity,1158,18,0.9844559585492227,0.9835924006908463,0.9870466321243523,0.9853195164075993
4,attachment_rooted_smiles,1158,828,0.2849740932642487,0.14162348877374784,0.49827288428324695,0.48704663212435234
4,light_denoise,1158,1113,0.038860103626943004,0.037996545768566495,0.2867012089810017,0.26252158894645944
4,direction_flip,1158,1039,0.10276338514680483,0.09067357512953368,0.40932642487046633,0.3998272884283247
4,rdkit_random_smiles,1158,1036,0.10535405872193437,0.09326424870466321,0.38687392055267705,0.3791018998272884
5,identity,1158,30,0.9740932642487047,0.9732297063903281,0.9801381692573402,0.9801381692573402
5,attachment_rooted_smiles,1158,851,0.2651122625215889,0.2003454231433506,0.46718480138169255,0.45077720207253885
5,light_denoise,1158,1076,0.07081174438687392,0.06994818652849741,0.3298791018998273,0.31865284974093266
5,direction_flip,1158,937,0.19084628670120898,0.18221070811744386,0.4740932642487047,0.46718480138169255
5,rdkit_random_smiles,1158,949,0.18048359240069084,0.16839378238341968,0.45768566493955093,0.44905008635578586
6,identity,1158,35,0.9697754749568221,0.9689119170984456,0.9792746113989638,0.9775474956822107
6,attachment_rooted_smiles,1158,834,0.27979274611398963,0.21675302245250433,0.5120898100172712,0.4991364421416235
6,light_denoise,1158,1083,0.06476683937823834,0.06390328151986183,0.3316062176165803,0.30915371329879104
6,direction_flip,1158,889,0.23229706390328153,0.2219343696027634,0.5284974093264249,0.5207253886010362
6,rdkit_random_smiles,1158,896,0.22625215889464595,0.22020725388601037,0.5259067357512953,0.5155440414507773
7,identity,1158,125,0.8920552677029361,0.8920552677029361,0.9335060449050087,0.9317789291882557
7,attachment_rooted_smiles,1158,670,0.4214162348877375,0.40846286701208984,0.6269430051813472,0.6191709844559585
7,light_denoise,1158,910,0.2141623488773748,0.21329879101899826,0.5466321243523317,0.538860103626943
7,direction_flip,1158,853,0.26338514680483593,0.2599309153713299,0.5526770293609672,0.5492227979274611
7,rdkit_random_smiles,1158,868,0.2504317789291883,0.24438687392055267,0.5587219343696027,0.5552677029360967
8,identity,1158,107,0.9075993091537133,0.9058721934369602,0.9447322970639033,0.9438687392055267
8,attachment_rooted_smiles,1158,606,0.47668393782383417,0.46632124352331605,0.657167530224525,0.6528497409326425
8,light_denoise,1158,886,0.23488773747841105,0.23488773747841105,0.538860103626943,0.533678756476684
8,direction_flip,1158,805,0.30483592400690845,0.3005181347150259,0.5846286701208981,0.5777202072538861
8,rdkit_random_smiles,1158,814,0.2970639032815199,0.29360967184801384,0.5708117443868739,0.5621761658031088
9,identity,1158,121,0.8955094991364422,0.8946459412780656,0.9326424870466321,0.9309153713298791
9,attachment_rooted_smiles,1158,577,0.501727115716753,0.49654576856649396,0.696027633851468,0.6934369602763385
9,light_denoise,1158,863,0.2547495682210708,0.2547495682210708,0.5699481865284974,0.5656303972366149
9,direction_flip,1158,800,0.30915371329879104,0.30483592400690845,0.6062176165803109,0.6018998272884283
9,rdkit_random_smiles,1158,796,0.3126079447322971,0.30483592400690845,0.6018998272884283,0.5967184801381693
10,identity,1158,173,0.8506044905008635,0.8497409326424871,0.9136442141623489,0.9119170984455959
10,attachment_rooted_smiles,1158,535,0.5379965457685665,0.533678756476684,0.7253886010362695,0.7236614853195165
10,light_denoise,1158,815,0.29620034542314333,0.29533678756476683,0.6269430051813472,0.6208981001727115
10,direction_flip,1158,748,0.3540587219343696,0.34628670120898103,0.6364421416234888,0.6329879101899827
10,rdkit_random_smiles,1158,774,0.3316062176165803,0.3229706390328152,0.6269430051813472,0.6226252158894646
11,identity,1158,140,0.8791018998272885,0.8782383419689119,0.9317789291882557,0.9291882556131261
11,attachment_rooted_smiles,1158,500,0.5682210708117443,0.5647668393782384,0.7176165803108808,0.7158894645941278
11,light_denoise,1158,776,0.3298791018998273,0.3298791018998273,0.6226252158894646,0.6191709844559585
11,direction_flip,1158,749,0.3531951640759931,0.3471502590673575,0.6113989637305699,0.6053540587219344
11,rdkit_random_smiles,1158,752,0.35060449050086356,0.3436960276338515,0.5975820379965457,0.5924006908462867
12,identity,1158,183,0.8419689119170984,0.8411053540587219,0.9075993091537133,0.9067357512953368
12,attachment_rooted_smiles,1158,502,0.5664939550949913,0.5587219343696027,0.7374784110535406,0.7340241796200345
12,light_denoise,1158,770,0.33506044905008636,0.33506044905008636,0.6545768566493955,0.6485319516407599
12,direction_flip,1158,733,0.36701208981001726,0.3626943005181347,0.6459412780656304,0.6416234887737479
12,rdkit_random_smiles,1158,725,0.37392055267702934,0.3696027633851468,0.6407599309153713,0.6347150259067358
13,identity,1158,220,0.8100172711571675,0.8082901554404145,0.8989637305699482,0.8963730569948186
13,attachment_rooted_smiles,1158,524,0.5474956822107081,0.5440414507772021,0.7443868739205527,0.7426597582037997
13,light_denoise,1158,714,0.38341968911917096,0.38341968911917096,0.6882556131260794,0.6813471502590673
13,direction_flip,1158,737,0.3635578583765112,0.35837651122625214,0.6398963730569949,0.6381692573402418
13,rdkit_random_smiles,1158,727,0.37219343696027635,0.36701208981001726,0.646804835924007,0.6390328151986183
14,identity,1158,198,0.8290155440414507,0.8290155440414507,0.9006908462867013,0.8998272884283247
14,attachment_rooted_smiles,1158,483,0.582901554404145,0.575993091537133,0.7469775474956822,0.7452504317789291
14,light_denoise,1158,703,0.39291882556131263,0.39291882556131263,0.7020725388601037,0.7003454231433506
14,direction_flip,1158,710,0.38687392055267705,0.38255613126079446,0.6744386873920553,0.6727115716753023
14,rdkit_random_smiles,1158,714,0.38341968911917096,0.37737478411053543,0.6545768566493955,0.6502590673575129
15,identity,1158,191,0.8350604490500864,0.8350604490500864,0.9084628670120898,0.9050086355785838
15,attachment_rooted_smiles,1158,479,0.5863557858376511,0.5803108808290155,0.7452504317789291,0.7435233160621761
15,light_denoise,1158,686,0.4075993091537133,0.4075993091537133,0.6917098445595855,0.6865284974093264
15,direction_flip,1158,702,0.39378238341968913,0.38860103626943004,0.6416234887737479,0.6390328151986183
15,rdkit_random_smiles,1158,713,0.3842832469775475,0.3747841105354059,0.6580310880829016,0.6519861830742659
16,identity,1158,201,0.8264248704663213,0.8246977547495682,0.9058721934369602,0.9032815198618307
16,attachment_rooted_smiles,1158,469,0.5949913644214162,0.5863557858376511,0.7495682210708118,0.7469775474956822
16,light_denoise,1158,666,0.42487046632124353,0.4231433506044905,0.697754749568221,0.696027633851468
16,direction_flip,1158,712,0.385146804835924,0.3799654576856649,0.6459412780656304,0.6424870466321243
16,rdkit_random_smiles,1158,727,0.37219343696027635,0.3644214162348877,0.6545768566493955,0.6476683937823834
17,identity,1158,244,0.7892918825561313,0.7884283246977547,0.8799654576856649,0.8791018998272885
