smiles,source_canonical_id,source_standardized_smiles
*c1cc(C(c2ccc(OCCN(C)c3ccc(/C=C/C4=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(c1ccccc1)c1ccc(/C=C/C2=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C2)cc1,ru_010411,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(c4ccccc4)c4ccc(/C=C/C6=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(C)c3ccc(/C=C/C4=CC(=C(/C#N)C(=O)OCCc5ccccc5)/CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(c1ccccc1)c1ccc(/C=C/C2=CC(=C(/C#N)C(=O)OCCc3ccccc3)/CC(C)(C)C2)cc1,ru_010412,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(/C#N)C(=O)OCCc4ccccc4)/CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(c4ccccc4)c4ccc(/C=C/C6=CC(=C(/C#N)C(=O)OCCc7ccccc7)/CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(C)c3ccc(/C=C/C4=CC(=C(/C#N)C(=O)OCc5ccc(Oc6c(F)c(F)c(F)c(F)c6F)cc5)/CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(c1ccccc1)c1ccc(/C=C/C2=CC(=C(/C#N)C(=O)OCc3ccc(Oc4c(F)c(F)c(F)c(F)c4F)cc3)/CC(C)(C)C2)cc1,ru_010413,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(/C#N)C(=O)OCc4ccc(Oc5c(F)c(F)c(F)c(F)c5F)cc4)/CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(c4ccccc4)c4ccc(/C=C/C6=CC(=C(/C#N)C(=O)OCc7ccc(Oc8c(F)c(F)c(F)c(F)c8F)cc7)/CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(C)c3ccc(/C=C/C4=CC(=C(/C#N)S(C)(=O)=O)/CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(C)c1ccc(/C=C/C2=CC(=C(/C#N)S(C)(=O)=O)/CC(C)(C)C2)cc1,ru_010414,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(/C#N)S(C)(=O)=O)/CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(C)c4ccc(/C=C/C6=CC(=C(/C#N)S(C)(=O)=O)/CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(C)c3ccc(/C=C/C4=CC(=C(C#N)C#N)CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(C)c1ccc(/C=C/C2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1,ru_010415,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(C#N)C#N)CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(C)c4ccc(/C=C/C6=CC(=C(C#N)C#N)CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(CC)c3ccc(/C=C/C4=CC(=C(C#N)C#N)CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(CC)c1ccc(/C=C/C2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1,ru_010418,*c1ccc(OCCN(CC)c2ccc(/C=C/C3=CC(=C(C#N)C#N)CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(CC)c4ccc(/C=C/C6=CC(=C(C#N)C#N)CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(CC)c3ccc(/N=N/c4ccc([N+](=O)[O-])cc4)cc3)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,ru_010419,*c1ccc(OCCN(CC)c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(CC)c4ccc(/N=N/c6ccc([N+](=O)[O-])cc6)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(c3ccccc3)c3ccc(/C=C/C4=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(C)c1ccc(/C=C/C2=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C2)cc1,ru_010411,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(c4ccccc4)c4ccc(/C=C/C6=CC(=C(/C#N)C(=O)OC)/CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(c3ccccc3)c3ccc(/C=C/C4=CC(=C(/C#N)C(=O)OCCc5ccccc5)/CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(C)c1ccc(/C=C/C2=CC(=C(/C#N)C(=O)OCCc3ccccc3)/CC(C)(C)C2)cc1,ru_010412,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(/C#N)C(=O)OCCc4ccccc4)/CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(c4ccccc4)c4ccc(/C=C/C6=CC(=C(/C#N)C(=O)OCCc7ccccc7)/CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
*c1cc(C(c2ccc(OCCN(c3ccccc3)c3ccc(/C=C/C4=CC(=C(/C#N)C(=O)OCc5ccc(Oc6c(F)c(F)c(F)c(F)c6F)cc5)/CC(C)(C)C4)cc3)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1OCCN(C)c1ccc(/C=C/C2=CC(=C(/C#N)C(=O)OCc3ccc(Oc4c(F)c(F)c(F)c(F)c4F)cc3)/CC(C)(C)C2)cc1,ru_010413,*c1ccc(OCCN(C)c2ccc(/C=C/C3=CC(=C(/C#N)C(=O)OCc4ccc(Oc5c(F)c(F)c(F)c(F)c5F)cc4)/CC(C)(C)C3)cc2)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4OCCN(c4ccccc4)c4ccc(/C=C/C6=CC(=C(/C#N)C(=O)OCc7ccc(Oc8c(F)c(F)c(F)c(F)c8F)cc7)/CC(C)(C)C6)cc4)C5=O)cc3C2=O)c1
